PLAYER_NAME,ID,diff
Yves Pons,1,-1.726606892388627
Dexter Pittman,2,-1.149173981923439
Petr Cornelie,1,-1.1490583519909796
David Wear,2,-1.1241459510493546
Zach Lofton,1,-1.1160097976871741
Will Magnay,1,-1.1132383650334043
Jay Huff,1,-1.111386813197889
Vit Krejci,3,-1.093828565927997
Miles McBride,1,-1.074837463967625
Aaron Henry,1,-1.0736900329782093
William Howard,4,-1.071569657511748
Xavier Silas,3,-1.0570954917526796
Scotty Hopson,7,-1.049413923670972
Greg Whittington,3,-1.0414769367267982
Patricio Garino,7,-1.0298957105699948
Donte Grantham,2,-1.0194009981685328
Darius Johnson-Odom,8,-0.9589835322210011
Erik McCree,2,-0.9559746456458404
Malik Newman,2,-0.9436430516888583
Stanton Kidd,3,-0.9318212661366094
Mustafa Shakur,4,-0.9165027486032127
Royal Ivey,2,-0.9130292926291637
Kalin Lucas,3,-0.9084483631628396
Ben Bentil,3,-0.8865238097877892
Tyler Davis,1,-0.8817666905274983
Michael Gbinije,9,-0.8697347784396435
Angel Delgado,6,-0.8602607644531041
Marcus Garrett,1,-0.8506961216443643
Elias Harris,1,-0.8456947077164364
DJ White,1,-0.8421975572136111
Jared Harper,9,-0.8306028995287327
Malcolm Lee,1,-0.8292545339860666
JJ O'Brien,1,-0.8271062546329085
James Bouknight,2,-0.8157349845301527
Jeff Dowtin,1,-0.8143546291425939
Joe Chealey,11,-0.7814503620017125
Leandro Bolmaro,5,-0.708845883184073
London Perrantes,15,-0.6752203638531712
Zhou Qi,37,-0.6686364926878507
Tariq Owens,5,-0.6548495776262844
Yante Maten,4,-0.6267048393009849
Damion James,10,-0.6233161230467088
Ronnie Brewer,16,-0.6228486594667447
Sharife Cooper,4,-0.6178500388842976
Charles Cooke,14,-0.604275040573868
Michael Frazier II,32,-0.6032569044292138
Josh Reaves,10,-0.6014970078309829
Keith Appling,9,-0.6011926841001927
Alex Kirk,5,-0.5998178887631352
Didi Louzada,16,-0.5994981055070049
Jacob Wiley,5,-0.5979086300944426
Andre Dawkins,6,-0.5947472740961345
Karim Mane,15,-0.5725559958416698
Erik Murphy,9,-0.5542713180850519
Stephen Jackson,26,-0.553954910290189
Mike Tobey,4,-0.5512497818986035
Luis Montero,20,-0.5388461562057614
Nemanja Nedovic,37,-0.534376524755948
Vander Blue,31,-0.5314272486181935
Udoka Azubuike,15,-0.5223743161230779
Shavlik Randolph,59,-0.5140384313088111
Jalen Lecque,21,-0.5138862242633466
Will Cherry,21,-0.5133903759803043
Devon Hall,31,-0.5099960857486981
DeVaughn Akoon-Purcell,11,-0.509874045514749
Grant Jerrett,26,-0.5043958790887892
Jamaal Tinsley,12,-0.4942206463964725
Patrick Christopher,12,-0.4885722882931666
Greg Brown III,18,-0.4866646852991044
Diamond Stone,15,-0.4856528681543072
James Webb III,24,-0.4845172871753973
Cassius Stanley,47,-0.48442082880870824
Jared Butler,26,-0.4803794683598213
Kostas Antetokounmpo,20,-0.4778414046756693
Ty-Shon Alexander,13,-0.4776251621647726
Cam Thomas,20,-0.4722053571158999
J.P. Macura,9,-0.4718345298051106
Justin Champagnie,6,-0.4692014838518373
Aaron Harrison,99,-0.4609951631595893
Tyrell Terry,16,-0.4530338120347543
Alex Stepheson,31,-0.45272373625878676
Nathan Knight,122,-0.45185601561161187
Orlando Johnson,152,-0.44368157183815077
Kevin Hervey,26,-0.43933943033827166
Josh Hall,119,-0.4343478852324841
Matt Mooney,4,-0.4336205554209802
Aaron Jackson,10,-0.43358852036030304
Hamady Ndiaye,9,-0.42943226654666844
Glen Rice,55,-0.42705255195939057
Matt Costello,4,-0.4267028654571851
Ike Anigbogu,15,-0.4229916050276645
Marial Shayok,13,-0.41974140058401266
Brian Bowen II,14,-0.4190260855924163
Cameron Bairstow,59,-0.4185344431865798
Tony Mitchell,24,-0.4154162294876455
Devyn Marble,130,-0.4147772892993425
Keljin Blevins,20,-0.4143349260893473
Tyler Bey,24,-0.4113801500645435
Milton Doyle,48,-0.39876451427696513
Elijah Millsap,327,-0.3951264037338935
Lamar Patterson,91,-0.3936789550970436
Joshia Grey,47,-0.39333295058801315
Earl Barron,45,-0.3898866996081943
Vincent Edwards,4,-0.38786206601175655
Chris Babb,30,-0.3870037384036367
Marquis Teague,124,-0.3840691776410209
Jerel McNeal,12,-0.38385009718979735
Bernard James,61,-0.38350747836375865
Rawle Alkins,43,-0.38335377459404474
Jared Cunningham,179,-0.3816683083205973
Nick Johnson,83,-0.37990786996905285
Moses Moody,24,-0.3783202120467517
John Holland,64,-0.3781948551321695
Theo Pinson,251,-0.377068488601097
Shane Edwards,3,-0.37592243024379296
Isaac Humphries,21,-0.37561478838559464
Charles Brown Jr.,68,-0.37422509349936806
Jarell Eddie,87,-0.3739696763851562
Mamadi Diakite,46,-0.3730608619315356
Tyler Hansbrough,549,-0.37036634690200465
Bonzie Colson,41,-0.3665864022193882
Jalen Suggs,182,-0.36407932865684856
Josh Christopher,32,-0.36365797128670985
Xavier Rathan-Mayes,44,-0.36309323409725325
Duje Dukan,10,-0.35796214098505563
Reggie Evans,333,-0.35711652605035443
Peyton Siva,62,-0.35628078634484306
Stephen Zimmerman,33,-0.3549319058902993
Antawn Jamison,97,-0.3549244213874716
Santi Aldama,21,-0.35014125844641963
Killian Tillie,69,-0.34856566199120403
Marshall Plumlee,43,-0.3474984328366768
Omer Asik,1052,-0.34709742416429806
Metta World Peace,346,-0.3444309408481747
Damien Inglis,40,-0.34170040296348997
Earl Watson,12,-0.33983652417274923
Jemerrio Jones,34,-0.33613997262271234
Marcus Paige,15,-0.33568030266818977
Jared Terrell,42,-0.33559823587685456
Kyle Collinsworth,111,-0.3326807678055885
Tyshawn Taylor,86,-0.3311022184866257
Dewan Hernandez,15,-0.3302218352175907
Davon Reed,94,-0.3288129395480134
Emanuel Terry,9,-0.32825067746441783
Dahntay Jones,48,-0.3281372012668344
Deng Adel,38,-0.32717909535716866
Rakeem Christmas,57,-0.32687549820524353
Justin Wright-Foreman,22,-0.3267762099864187
Gal Mekel,108,-0.32200409427078686
Jeffery Taylor,265,-0.32017695971087373
Marques Bolden,3,-0.3190817880657176
Russ Smith,50,-0.31527406579806816
Andrei Kirilenko,195,-0.31469255788329886
Isaiah Jackson,3,-0.31393575092637377
Reggie Perry,82,-0.3138951530587971
Jordan Mickey,147,-0.31356493646889844
Othyus Jeffers,8,-0.3125507390687158
Antonius Cleveland,39,-0.3123091474705657
Shannon Brown,91,-0.3121724904770673
Aaron Gray,63,-0.31056848087365196
KZ Okpala,123,-0.310538154989307
Amile Jefferson,40,-0.3096913956048775
Nigel Williams-Goss,16,-0.3085013026774925
Ron Baker,310,-0.3082423252411725
Vic Law,19,-0.30815900953738445
Quincy Miller,324,-0.3076338837532537
Josh Okogie,1363,-0.3070859590514797
Zoran Dragic,30,-0.3062036129436677
Precious Achiuwa,404,-0.304729354701818
Ricky Ledo,125,-0.30384150889223643
Naji Marshall,279,-0.3030040031239301
Dusty Hannahs,23,-0.30281492772837465
Lou Amundson,374,-0.302631953366959
Brodric Thomas,125,-0.3025850075131751
Dairis Bertans,47,-0.30121321337282975
Robert Woodard II,24,-0.3005468363398674
Sekou Doumbouya,571,-0.3003782209577021
Georgios Kalaitzakis,10,-0.2996002918149462
Kyle Alexander,2,-0.29916606433073456
Kyle Guy,98,-0.29661863301185276
Jack Cooley,57,-0.2933804152817854
Xavier Henry,434,-0.2915949187701063
Romeo Langford,201,-0.2903948310348551
Viacheslav Kravtsov,17,-0.2896538617148384
CJ Elleby,85,-0.28902782591045917
Quinndary Weatherspoon,57,-0.2890099207335371
Dionte Christmas,72,-0.2886494951772515
Phil Pressey,539,-0.28811243932417097
Zhaire Smith,48,-0.2862310732369871
Daniel Oturu,58,-0.2846921148402903
Josh Green,111,-0.28408118810213956
Wade Baldwin IV,179,-0.2817167050042098
Chris Singleton,78,-0.2814330904175348
Cleanthony Early,266,-0.2785413886283257
Kostas Papanikolaou,260,-0.2777271312805143
Tony Wroten,1490,-0.2766177337479656
Anthony Brown,173,-0.2766072853357898
Julian Washburn,49,-0.27416517571414534
Malcolm Thomas,61,-0.2739518017456189
Dzanan Musa,209,-0.2725788263112756
Pierre Jackson,41,-0.27252349893707917
