PLAYER_NAME,ID,diff
Yves Pons,1,-1.726606892388627
Dexter Pittman,1,-1.157888676114499
Petr Cornelie,1,-1.1490583519909796
David Wear,2,-1.1241459510493546
Zach Lofton,1,-1.1160097976871741
Will Magnay,1,-1.1132383650334043
Jay Huff,1,-1.111386813197889
Vit Krejci,2,-1.0989170022432444
Miles McBride,1,-1.074837463967625
Aaron Henry,1,-1.0736900329782093
William Howard,4,-1.071569657511748
Xavier Silas,3,-1.0570954917526796
Greg Whittington,3,-1.0414769367267984
Scotty Hopson,5,-1.0313849687085592
Patricio Garino,7,-1.0298957105699948
Donte Grantham,2,-1.0194009981685328
Erik McCree,2,-0.9559746456458404
Malik Newman,2,-0.9436430516888583
Darius Johnson-Odom,7,-0.939908968441124
Kalin Lucas,2,-0.938492084931241
Stanton Kidd,3,-0.9318212661366094
Royal Ivey,2,-0.9130292926291637
Ben Bentil,3,-0.8865238097877892
Tyler Davis,1,-0.8817666905274983
Michael Gbinije,9,-0.8697347784396435
Mustafa Shakur,3,-0.8575644860585254
Marcus Garrett,1,-0.8506961216443643
Elias Harris,1,-0.8456947077164364
DJ White,1,-0.8421975572136111
Malcolm Lee,1,-0.8292545339860666
JJ O'Brien,1,-0.8271062546329085
Jared Harper,8,-0.824374770303918
James Bouknight,2,-0.8157349845301527
Jeff Dowtin,1,-0.8143546291425939
Joe Chealey,10,-0.7734397315451405
Angel Delgado,5,-0.7725352405264834
Leandro Bolmaro,5,-0.708845883184073
Tariq Owens,5,-0.6548495776262844
Zhou Qi,33,-0.6312315165651095
Yante Maten,4,-0.6267048393009849
Sharife Cooper,4,-0.6178500388842976
Ronnie Brewer,15,-0.6110634793321135
London Perrantes,13,-0.609376193629362
Charles Cooke,14,-0.6042750405738679
Didi Louzada,16,-0.599498105507005
Andre Dawkins,6,-0.5947472740961345
Damion James,9,-0.5929803222181548
Erik Murphy,9,-0.5542713180850519
Stephen Jackson,26,-0.553954910290189
Mike Tobey,4,-0.5512497818986035
Michael Frazier II,29,-0.5440403581507682
Keith Appling,8,-0.5403339790211079
Josh Reaves,9,-0.538576191566021
Luis Montero,19,-0.5201472971371291
Karim Mane,13,-0.5122407360060593
Nemanja Nedovic,34,-0.5055370094573913
Grant Jerrett,26,-0.5043958790887892
Devon Hall,30,-0.49885235909599185
Jacob Wiley,4,-0.4942957409712539
Jamaal Tinsley,12,-0.4942206463964725
Patrick Christopher,12,-0.4885722882931666
James Webb III,24,-0.4845172871753973
DeVaughn Akoon-Purcell,10,-0.47305446295250136
Will Cherry,19,-0.47233541127791195
Cam Thomas,20,-0.4722053571158999
J.P. Macura,9,-0.4718345298051106
Vander Blue,27,-0.4674836736587405
Jalen Lecque,19,-0.46672491962277407
Alex Kirk,4,-0.4560848685496157
Tyrell Terry,16,-0.4530338120347543
Ty-Shon Alexander,12,-0.4473201773279885
Jared Butler,24,-0.4408314801975611
Kevin Hervey,26,-0.43933943033827166
Matt Mooney,4,-0.43362055542098016
Cassius Stanley,43,-0.4306707137119681
Hamady Ndiaye,9,-0.42943226654666844
Diamond Stone,13,-0.4274442862772868
Matt Costello,4,-0.4267028654571851
Brian Bowen II,14,-0.4190260855924163
Aaron Harrison,91,-0.41791040499743826
Greg Brown III,16,-0.41473180625887895
Keljin Blevins,20,-0.41433492608934736
Shavlik Randolph,49,-0.4020321361279202
Orlando Johnson,139,-0.3984119829016336
Glen Rice,52,-0.39396356900552304
Vincent Edwards,4,-0.38786206601175655
Marial Shayok,12,-0.3874926369388727
Chris Babb,30,-0.3870037384036367
Milton Doyle,47,-0.3834018713526261
Shane Edwards,3,-0.37592243024379296
Isaac Humphries,21,-0.37561478838559464
Alex Stepheson,27,-0.3741464120009364
Cameron Bairstow,54,-0.36222121611062236
Aaron Jackson,9,-0.3613233092042025
Duje Dukan,10,-0.35796214098505563
Joshia Grey,43,-0.35191389441336113
Theo Pinson,237,-0.34490672460686916
Moses Moody,23,-0.3436369529481153
Lamar Patterson,83,-0.3434697313334869
Devyn Marble,115,-0.34080819395576073
Tyler Bey,22,-0.3403919339047811
Josh Hall,99,-0.3402779890006577
Xavier Rathan-Mayes,42,-0.3366662838356295
John Holland,59,-0.3346612365247354
Josh Christopher,30,-0.3341445759807667
Justin Champagnie,5,-0.33020413675200144
Jarell Eddie,79,-0.3288073914415624
Charles Brown Jr.,62,-0.3284620623050302
Santi Aldama,20,-0.32651438428339397
Kostas Antetokounmpo,16,-0.32521349445048175
Nathan Knight,100,-0.32489969786126743
Rawle Alkins,39,-0.32264450048549215
Stephen Zimmerman,31,-0.32031713984264637
Jalen Suggs,168,-0.3194735441276817
Marques Bolden,3,-0.3190817880657176
Bonzie Colson,39,-0.31752512740992334
Nick Johnson,75,-0.3118031177496053
Jemerrio Jones,33,-0.31138431435153946
Nigel Williams-Goss,16,-0.3085013026774925
Elijah Millsap,283,-0.30764140870814266
Marquis Teague,109,-0.3070973072646134
Zoran Dragic,30,-0.3062036129436677
Marcus Paige,14,-0.3015745239168148
Jerel McNeal,11,-0.30148860379448583
Dairis Bertans,47,-0.30121321337282975
Kyle Alexander,2,-0.29916606433073456
Gal Mekel,104,-0.29889874964967805
Peyton Siva,56,-0.29878221707454206
Earl Watson,11,-0.29533093642313485
Damien Inglis,37,-0.28992553516475217
Metta World Peace,317,-0.28954424924581124
Earl Barron,39,-0.2888670762232007
Jared Terrell,39,-0.2871195413548978
Killian Tillie,64,-0.28694355859149334
Antawn Jamison,88,-0.2859141412176396
Reggie Perry,78,-0.28268760128559767
Deng Adel,36,-0.2826115924200676
Davon Reed,88,-0.2797037472520255
Vic Law,18,-0.2782371512139376
KZ Okpala,116,-0.2743011124825559
Trendon Watford,2,-0.27196757147200984
Mamadi Diakite,40,-0.2696679471036415
Nate Darling,7,-0.268201021899315
Dewan Hernandez,14,-0.2678973610538848
Ron Baker,291,-0.2662225278220825
Dahntay Jones,43,-0.2621716755452414
Jared Cunningham,149,-0.2611678316415179
Shannon Brown,85,-0.25908497407026676
Kyle Guy,93,-0.25796807488025963
Kostas Papanikolaou,253,-0.2560959093350836
Julian Washburn,48,-0.25582055044099944
Usman Garuba,14,-0.25575007339242284
Russ Smith,45,-0.25375398414111633
DJ Stephens,9,-0.25182801667197174
Kyle Collinsworth,99,-0.2517476116657056
Anthony Brown,166,-0.25026531966175125
Ike Anigbogu,12,-0.24896302379314575
Justin Wright-Foreman,20,-0.2463832433834166
Jeffery Taylor,240,-0.24573455934953556
Naz Mitrou-Long,38,-0.24505682671565301
Ziaire Williams,72,-0.24459797574676653
Pierre Jackson,39,-0.24322008992286653
Josh Huestis,204,-0.24240287009744235
Damien Wilkins,39,-0.24088111910954638
Zach Norvell Jr.,12,-0.24070532204566875
Sekou Doumbouya,526,-0.24038839489029426
Quincy Miller,294,-0.2397015220765479
Trey Murphy III,84,-0.2393926511212018
Jordan Mickey,133,-0.23937911297684752
Georgios Kalaitzakis,9,-0.23869151227645713
Antonius Cleveland,35,-0.23740437619567456
Dusty Hannahs,21,-0.23713553821712752
Udoka Azubuike,10,-0.23709549546297026
Rodney Purvis,107,-0.23662490188453578
Phil Pressey,497,-0.23621570502678343
CJ Elleby,79,-0.23414400802863247
Romeo Langford,185,-0.23191364063177555
Cleanthony Early,247,-0.2314477085399721
Ricky Ledo,113,-0.23117203166118955
Deonte Burton,205,-0.23022461286332127
Tyshawn Taylor,74,-0.22977344320781642
Zhaire Smith,45,-0.22919050963959334
